SHOP_ID,CATEGORY,NAME,RATING,PRICE,REVIEW_COUNT,ADDRESS,OPEN_HOURS,BUSY_HOURS
100001,Coffee shop,Java Lounge - Fort - Sri Lanka's Largest Coffee House Chain,4.1,$$,245,7 Hospital St~ Colombo 00100,["Friday~ 7AM to 11:45PM; Saturday~ 7AM to 11:45PM; Sunday~ 7AM to 11:45PM; Monday~ 7AM to 11:45PM; Tuesday~ 7AM to 11:45PM; Wednesday~ 7AM to 11:45PM; Thursday (Prophet's Birthday)~ 7AM to 11:45PM~ Hours might differ. Hide open hours for the week"],['0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '4% busy at 8 AM.'~ '4% busy at 9 AM.'~ '0% busy at 10 AM.'~ '4% busy at 11 AM.'~ '12% busy at 12 PM.'~ '16% busy at 1 PM.'~ '20% busy at 2 PM.'~ '20% busy at 3 PM.'~ '24% busy at 4 PM.'~ '20% busy at 5 PM.'~ '20% busy at 6 PM.'~ '12% busy at 7 PM.'~ '8% busy at 8 PM.'~ '4% busy at 9 PM.'~ '4% busy at 10 PM.'~ '4% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '4% busy at 8 AM.'~ '16% busy at 9 AM.'~ '68% busy at 10 AM.'~ '92% busy at 11 AM.'~ '72% busy at 12 PM.'~ '72% busy at 1 PM.'~ '76% busy at 2 PM.'~ '72% busy at 3 PM.'~ '60% busy at 4 PM.'~ '52% busy at 5 PM.'~ '48% busy at 6 PM.'~ '36% busy at 7 PM.'~ '24% busy at 8 PM.'~ '12% busy at 9 PM.'~ '4% busy at 10 PM.'~ '4% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '4% busy at 8 AM.'~ '20% busy at 9 AM.'~ '48% busy at 10 AM.'~ '72% busy at 11 AM.'~ '80% busy at 12 PM.'~ '64% busy at 1 PM.'~ '48% busy at 2 PM.'~ '52% busy at 3 PM.'~ '52% busy at 4 PM.'~ '36% busy at 5 PM.'~ '20% busy at 6 PM.'~ '20% busy at 7 PM.'~ '20% busy at 8 PM.'~ '12% busy at 9 PM.'~ '4% busy at 10 PM.'~ '4% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '0% busy at 8 AM.'~ '8% busy at 9 AM.'~ '64% busy at 10 AM.'~ '64% busy at 11 AM.'~ '56% busy at 12 PM.'~ '68% busy at 1 PM.'~ '32% busy at 2 PM.'~ '60% busy at 3 PM.'~ '76% busy at 4 PM.'~ '68% busy at 5 PM.'~ '44% busy at 6 PM.'~ '20% busy at 7 PM.'~ '4% busy at 8 PM.'~ '0% busy at 9 PM.'~ '0% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '4% busy at 7 AM.'~ '4% busy at 8 AM.'~ '12% busy at 9 AM.'~ '20% busy at 10 AM.'~ '32% busy at 11 AM.'~ '48% busy at 12 PM.'~ '56% busy at 1 PM.'~ '64% busy at 2 PM.'~ '68% busy at 3 PM.'~ '64% busy at 4 PM.'~ '56% busy at 5 PM.'~ '44% busy at 6 PM.'~ '28% busy at 7 PM.'~ '20% busy at 8 PM.'~ '8% busy at 9 PM.'~ '4% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '4% busy at 7 AM.'~ '12% busy at 8 AM.'~ '36% busy at 9 AM.'~ '68% busy at 10 AM.'~ '92% busy at 11 AM.'~ '100% busy at 12 PM.'~ '92% busy at 1 PM.'~ '88% busy at 2 PM.'~ '88% busy at 3 PM.'~ '84% busy at 4 PM.'~ '72% busy at 5 PM.'~ '60% busy at 6 PM.'~ '44% busy at 7 PM.'~ '40% busy at 8 PM.'~ '40% busy at 9 PM.'~ '44% busy at 10 PM.'~ '44% busy at 11 PM.'~ '0% busy at 6 AM.'~ '8% busy at 7 AM.'~ '8% busy at 8 AM.'~ '12% busy at 9 AM.'~ '12% busy at 10 AM.'~ '16% busy at 11 AM.'~ '16% busy at 12 PM.'~ '20% busy at 1 PM.'~ '20% busy at 2 PM.'~ '24% busy at 3 PM.'~ '28% busy at 4 PM.'~ '28% busy at 5 PM.'~ '24% busy at 6 PM.'~ '20% busy at 7 PM.'~ '12% busy at 8 PM.'~ '16% busy at 9 PM.'~ '40% busy at 10 PM.'~ '16% busy at 11 PM.']
100002,Cafe,The Commons Coffee House at Hatch,4.1,NA,50,Colombo,["Friday~ 8AM to 7PM; Saturday~ 8AM to 3PM; Sunday~ Closed; Monday~ 8AM to 7PM; Tuesday~ 8AM to 7PM; Wednesday~ 8AM to 7PM; Thursday (Prophet's Birthday)~ 8AM to 7PM~ Hours might differ. Hide open hours for the week"],NA
100003,Cafe,The t-Lounge by Dilmah,4.4,$$,780,Chatham St~ Colombo 00100,["Friday~ 8AM to 9PM; Saturday~ 8AM to 9PM; Sunday~ 8AM to 9PM; Monday~ 8AM to 9PM; Tuesday~ 8AM to 9PM; Wednesday~ 8AM to 9PM; Thursday (Prophet's Birthday)~ 8AM to 9PM~ Hours might differ. Hide open hours for the week"],['0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '14% busy at 8 AM.'~ '25% busy at 9 AM.'~ '32% busy at 10 AM.'~ '38% busy at 11 AM.'~ '39% busy at 12 PM.'~ '40% busy at 1 PM.'~ '43% busy at 2 PM.'~ '46% busy at 3 PM.'~ '47% busy at 4 PM.'~ '44% busy at 5 PM.'~ '38% busy at 6 PM.'~ '28% busy at 7 PM.'~ '18% busy at 8 PM.'~ '0% busy at 9 PM.'~ '0% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '9% busy at 8 AM.'~ '18% busy at 9 AM.'~ '25% busy at 10 AM.'~ '30% busy at 11 AM.'~ '32% busy at 12 PM.'~ '35% busy at 1 PM.'~ '40% busy at 2 PM.'~ '48% busy at 3 PM.'~ '53% busy at 4 PM.'~ '52% busy at 5 PM.'~ '42% busy at 6 PM.'~ '26% busy at 7 PM.'~ '11% busy at 8 PM.'~ '0% busy at 9 PM.'~ '0% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '15% busy at 8 AM.'~ '27% busy at 9 AM.'~ '38% busy at 10 AM.'~ '47% busy at 11 AM.'~ '51% busy at 12 PM.'~ '51% busy at 1 PM.'~ '48% busy at 2 PM.'~ '48% busy at 3 PM.'~ '52% busy at 4 PM.'~ '57% busy at 5 PM.'~ '53% busy at 6 PM.'~ '38% busy at 7 PM.'~ '19% busy at 8 PM.'~ '0% busy at 9 PM.'~ '0% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '19% busy at 8 AM.'~ '35% busy at 9 AM.'~ '47% busy at 10 AM.'~ '50% busy at 11 AM.'~ '40% busy at 12 PM.'~ '27% busy at 1 PM.'~ '22% busy at 2 PM.'~ '32% busy at 3 PM.'~ '56% busy at 4 PM.'~ '73% busy at 5 PM.'~ '61% busy at 6 PM.'~ '31% busy at 7 PM.'~ '6% busy at 8 PM.'~ '0% busy at 9 PM.'~ '0% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '14% busy at 8 AM.'~ '32% busy at 9 AM.'~ '52% busy at 10 AM.'~ '61% busy at 11 AM.'~ '59% busy at 12 PM.'~ '50% busy at 1 PM.'~ '42% busy at 2 PM.'~ '40% busy at 3 PM.'~ '40% busy at 4 PM.'~ '36% busy at 5 PM.'~ '28% busy at 6 PM.'~ '18% busy at 7 PM.'~ '7% busy at 8 PM.'~ '0% busy at 9 PM.'~ '0% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '17% busy at 8 AM.'~ '32% busy at 9 AM.'~ '50% busy at 10 AM.'~ '64% busy at 11 AM.'~ '71% busy at 12 PM.'~ '69% busy at 1 PM.'~ '68% busy at 2 PM.'~ '75% busy at 3 PM.'~ '89% busy at 4 PM.'~ '100% busy at 5 PM.'~ '88% busy at 6 PM.'~ '59% busy at 7 PM.'~ '28% busy at 8 PM.'~ '0% busy at 9 PM.'~ '0% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '23% busy at 8 AM.'~ '31% busy at 9 AM.'~ '34% busy at 10 AM.'~ '31% busy at 11 AM.'~ '27% busy at 12 PM.'~ '26% busy at 1 PM.'~ '31% busy at 2 PM.'~ '40% busy at 3 PM.'~ '46% busy at 4 PM.'~ '40% busy at 5 PM.'~ '28% busy at 6 PM.'~ '17% busy at 7 PM.'~ '7% busy at 8 PM.'~ '0% busy at 9 PM.'~ '0% busy at 10 PM.'~ '0% busy at 11 PM.']
100004,Coffee shop,Goodies,4.3,$$,68,117 Colombo - Batticaloa Hwy~ Colombo,["Friday~ 7:30AM to 9PM; Saturday~ 7:30AM to 9PM; Sunday~ 7:30AM to 9PM; Monday~ 7:30AM to 9PM; Tuesday~ 7:30AM to 9PM; Wednesday~ 7:30AM to 9PM; Thursday (Prophet's Birthday)~ 7:30AM to 9PM~ Hours might differ. Hide open hours for the week"],NA
100005,Cafe,Barista World Trade Center,4.2,$$,282,Level 3 World Trade Center~ Bank of Ceylon Mawatha~ Colombo 00100,["Friday~ 7AM to 7PM; Saturday~ 7AM to 5PM; Sunday~ Closed; Monday~ 7AM to 7PM; Tuesday~ 7AM to 7PM; Wednesday~ 7AM to 7PM; Thursday (Prophet's Birthday)~ 7AM to 7PM~ Hours might differ. Hide open hours for the week"],['% busy at .'~ '0% busy at 6 AM.'~ '18% busy at 7 AM.'~ '36% busy at 8 AM.'~ '56% busy at 9 AM.'~ '72% busy at 10 AM.'~ '75% busy at 11 AM.'~ '63% busy at 12 PM.'~ '43% busy at 1 PM.'~ '27% busy at 2 PM.'~ '15% busy at 3 PM.'~ '11% busy at 4 PM.'~ '9% busy at 5 PM.'~ '9% busy at 6 PM.'~ '0% busy at 7 PM.'~ '0% busy at 8 PM.'~ '0% busy at 9 PM.'~ '0% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '22% busy at 7 AM.'~ '40% busy at 8 AM.'~ '61% busy at 9 AM.'~ '75% busy at 10 AM.'~ '75% busy at 11 AM.'~ '63% busy at 12 PM.'~ '45% busy at 1 PM.'~ '31% busy at 2 PM.'~ '22% busy at 3 PM.'~ '18% busy at 4 PM.'~ '15% busy at 5 PM.'~ '13% busy at 6 PM.'~ '0% busy at 7 PM.'~ '0% busy at 8 PM.'~ '0% busy at 9 PM.'~ '0% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '38% busy at 7 AM.'~ '86% busy at 8 AM.'~ '100% busy at 9 AM.'~ '88% busy at 10 AM.'~ '84% busy at 11 AM.'~ '68% busy at 12 PM.'~ '43% busy at 1 PM.'~ '25% busy at 2 PM.'~ '18% busy at 3 PM.'~ '13% busy at 4 PM.'~ '13% busy at 5 PM.'~ '11% busy at 6 PM.'~ '0% busy at 7 PM.'~ '0% busy at 8 PM.'~ '0% busy at 9 PM.'~ '0% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '25% busy at 7 AM.'~ '68% busy at 8 AM.'~ '86% busy at 9 AM.'~ '72% busy at 10 AM.'~ '72% busy at 11 AM.'~ '75% busy at 12 PM.'~ '56% busy at 1 PM.'~ '34% busy at 2 PM.'~ '18% busy at 3 PM.'~ '11% busy at 4 PM.'~ '9% busy at 5 PM.'~ '9% busy at 6 PM.'~ '0% busy at 7 PM.'~ '0% busy at 8 PM.'~ '0% busy at 9 PM.'~ '0% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '25% busy at 7 AM.'~ '47% busy at 8 AM.'~ '68% busy at 9 AM.'~ '68% busy at 10 AM.'~ '54% busy at 11 AM.'~ '43% busy at 12 PM.'~ '38% busy at 1 PM.'~ '36% busy at 2 PM.'~ '36% busy at 3 PM.'~ '31% busy at 4 PM.'~ '27% busy at 5 PM.'~ '22% busy at 6 PM.'~ '0% busy at 7 PM.'~ '0% busy at 8 PM.'~ '0% busy at 9 PM.'~ '0% busy at 10 PM.'~ '0% busy at 11 PM.'~ '% busy at .']
100006,Pastry shop,City Talk Pastry Shop,4.8,NA,6,87A Chatham St~ Colombo 00100,["Friday~ 7AM to 7PM; Saturday~ 7AM to 4PM; Sunday~ Closed; Monday~ 7AM to 7PM; Tuesday~ 7AM to 7PM; Wednesday~ 7AM to 7PM; Thursday (Prophet's Birthday)~ 7AM to 7PM~ Hours might differ. Hide open hours for the week"],NA
100007,Coffee shop,The Coffee Bean Tea Leaf,3.8,NA,9,Colombo,["Friday~ 10AM to 8PM; Saturday~ 10AM to 8PM; Sunday~ 10AM to 8PM; Monday~ 10AM to 8PM; Tuesday~ 10AM to 8PM; Wednesday~ 10AM to 8PM; Thursday (Prophet's Birthday)~ 10AM to 8PM~ Hours might differ. Hide open hours for the week"],NA
100008,Cafe,PSD Welfare shop and House of Juice,4.7,NA,3,54 Chatham St~ Colombo 00100,["Friday~ 6AM to 7PM; Saturday~ 6AM to 5PM; Sunday~ 6AM to 7PM; Monday~ 6AM to 7PM; Tuesday~ 6AM to 7PM; Wednesday~ 6AM to 7PM; Thursday (Prophet's Birthday)~ 6AM to 7PM~ Hours might differ. Hide open hours for the week"],NA
100009,Cafe,Kaffeine by Republk,4.3,NA,10,57 Hospital St~ Colombo 00100,["Friday~ 11AM to 11PM; Saturday~ 11AM to 11PM; Sunday~ 11AM to 11PM; Monday~ 11AM to 11PM; Tuesday~ 11AM to 11PM; Wednesday~ 11AM to 11PM; Thursday (Prophet's Birthday)~ 11AM to 11PM~ Hours might differ. Hide open hours for the week"],['0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '0% busy at 8 AM.'~ '0% busy at 9 AM.'~ '0% busy at 10 AM.'~ '25% busy at 11 AM.'~ '41% busy at 12 PM.'~ '25% busy at 1 PM.'~ '8% busy at 2 PM.'~ '12% busy at 3 PM.'~ '20% busy at 4 PM.'~ '25% busy at 5 PM.'~ '20% busy at 6 PM.'~ '12% busy at 7 PM.'~ '4% busy at 8 PM.'~ '4% busy at 9 PM.'~ '4% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '0% busy at 8 AM.'~ '0% busy at 9 AM.'~ '0% busy at 10 AM.'~ '4% busy at 11 AM.'~ '4% busy at 12 PM.'~ '12% busy at 1 PM.'~ '12% busy at 2 PM.'~ '8% busy at 3 PM.'~ '4% busy at 4 PM.'~ '4% busy at 5 PM.'~ '8% busy at 6 PM.'~ '8% busy at 7 PM.'~ '4% busy at 8 PM.'~ '4% busy at 9 PM.'~ '4% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '0% busy at 8 AM.'~ '0% busy at 9 AM.'~ '0% busy at 10 AM.'~ '4% busy at 11 AM.'~ '8% busy at 12 PM.'~ '12% busy at 1 PM.'~ '12% busy at 2 PM.'~ '8% busy at 3 PM.'~ '4% busy at 4 PM.'~ '4% busy at 5 PM.'~ '4% busy at 6 PM.'~ '4% busy at 7 PM.'~ '4% busy at 8 PM.'~ '4% busy at 9 PM.'~ '4% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '0% busy at 8 AM.'~ '0% busy at 9 AM.'~ '0% busy at 10 AM.'~ '16% busy at 11 AM.'~ '12% busy at 12 PM.'~ '4% busy at 1 PM.'~ '4% busy at 2 PM.'~ '4% busy at 3 PM.'~ '4% busy at 4 PM.'~ '8% busy at 5 PM.'~ '20% busy at 6 PM.'~ '41% busy at 7 PM.'~ '54% busy at 8 PM.'~ '50% busy at 9 PM.'~ '33% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '0% busy at 8 AM.'~ '0% busy at 9 AM.'~ '0% busy at 10 AM.'~ '4% busy at 11 AM.'~ '4% busy at 12 PM.'~ '12% busy at 1 PM.'~ '12% busy at 2 PM.'~ '4% busy at 3 PM.'~ '4% busy at 4 PM.'~ '4% busy at 5 PM.'~ '8% busy at 6 PM.'~ '12% busy at 7 PM.'~ '16% busy at 8 PM.'~ '12% busy at 9 PM.'~ '8% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '0% busy at 8 AM.'~ '0% busy at 9 AM.'~ '0% busy at 10 AM.'~ '4% busy at 11 AM.'~ '8% busy at 12 PM.'~ '8% busy at 1 PM.'~ '8% busy at 2 PM.'~ '4% busy at 3 PM.'~ '8% busy at 4 PM.'~ '20% busy at 5 PM.'~ '41% busy at 6 PM.'~ '66% busy at 7 PM.'~ '91% busy at 8 PM.'~ '100% busy at 9 PM.'~ '87% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '0% busy at 8 AM.'~ '0% busy at 9 AM.'~ '0% busy at 10 AM.'~ '8% busy at 11 AM.'~ '12% busy at 12 PM.'~ '12% busy at 1 PM.'~ '16% busy at 2 PM.'~ '16% busy at 3 PM.'~ '16% busy at 4 PM.'~ '16% busy at 5 PM.'~ '20% busy at 6 PM.'~ '29% busy at 7 PM.'~ '41% busy at 8 PM.'~ '54% busy at 9 PM.'~ '54% busy at 10 PM.'~ '0% busy at 11 PM.']
100010,Coffee shop,Barista,4.4,$$,69,33 Staple St~ Colombo 00200,["Friday~ 7AM to 11PM; Saturday~ 7AM to 11PM; Sunday~ 7AM to 11PM; Monday~ 7AM to 11PM; Tuesday~ 7AM to 11PM; Wednesday~ 7AM to 11PM; Thursday (Prophet's Birthday)~ 7AM to 11PM~ Hours might differ. Hide open hours for the week"],['0% busy at 6 AM.'~ '0% busy at 7 AM.'~ '1% busy at 8 AM.'~ '18% busy at 9 AM.'~ '38% busy at 10 AM.'~ '26% busy at 11 AM.'~ '18% busy at 12 PM.'~ '23% busy at 1 PM.'~ '26% busy at 2 PM.'~ '22% busy at 3 PM.'~ '14% busy at 4 PM.'~ '7% busy at 5 PM.'~ '7% busy at 6 PM.'~ '21% busy at 7 PM.'~ '35% busy at 8 PM.'~ '30% busy at 9 PM.'~ '12% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '1% busy at 7 AM.'~ '8% busy at 8 AM.'~ '53% busy at 9 AM.'~ '91% busy at 10 AM.'~ '73% busy at 11 AM.'~ '46% busy at 12 PM.'~ '47% busy at 1 PM.'~ '59% busy at 2 PM.'~ '64% busy at 3 PM.'~ '59% busy at 4 PM.'~ '46% busy at 5 PM.'~ '30% busy at 6 PM.'~ '22% busy at 7 PM.'~ '25% busy at 8 PM.'~ '28% busy at 9 PM.'~ '12% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '1% busy at 7 AM.'~ '11% busy at 8 AM.'~ '38% busy at 9 AM.'~ '53% busy at 10 AM.'~ '54% busy at 11 AM.'~ '59% busy at 12 PM.'~ '66% busy at 1 PM.'~ '64% busy at 2 PM.'~ '49% busy at 3 PM.'~ '29% busy at 4 PM.'~ '19% busy at 5 PM.'~ '26% busy at 6 PM.'~ '42% busy at 7 PM.'~ '40% busy at 8 PM.'~ '19% busy at 9 PM.'~ '1% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '1% busy at 7 AM.'~ '26% busy at 8 AM.'~ '67% busy at 9 AM.'~ '97% busy at 10 AM.'~ '90% busy at 11 AM.'~ '64% busy at 12 PM.'~ '52% busy at 1 PM.'~ '57% busy at 2 PM.'~ '67% busy at 3 PM.'~ '69% busy at 4 PM.'~ '60% busy at 5 PM.'~ '45% busy at 6 PM.'~ '29% busy at 7 PM.'~ '22% busy at 8 PM.'~ '16% busy at 9 PM.'~ '4% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '1% busy at 7 AM.'~ '18% busy at 8 AM.'~ '69% busy at 9 AM.'~ '56% busy at 10 AM.'~ '57% busy at 11 AM.'~ '80% busy at 12 PM.'~ '83% busy at 1 PM.'~ '66% busy at 2 PM.'~ '49% busy at 3 PM.'~ '39% busy at 4 PM.'~ '35% busy at 5 PM.'~ '30% busy at 6 PM.'~ '23% busy at 7 PM.'~ '16% busy at 8 PM.'~ '9% busy at 9 PM.'~ '2% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '1% busy at 7 AM.'~ '19% busy at 8 AM.'~ '54% busy at 9 AM.'~ '88% busy at 10 AM.'~ '100% busy at 11 AM.'~ '85% busy at 12 PM.'~ '67% busy at 1 PM.'~ '63% busy at 2 PM.'~ '66% busy at 3 PM.'~ '64% busy at 4 PM.'~ '54% busy at 5 PM.'~ '43% busy at 6 PM.'~ '35% busy at 7 PM.'~ '26% busy at 8 PM.'~ '16% busy at 9 PM.'~ '5% busy at 10 PM.'~ '0% busy at 11 PM.'~ '0% busy at 6 AM.'~ '1% busy at 7 AM.'~ '2% busy at 8 AM.'~ '19% busy at 9 AM.'~ '33% busy at 10 AM.'~ '35% busy at 11 AM.'~ '32% busy at 12 PM.'~ '33% busy at 1 PM.'~ '36% busy at 2 PM.'~ '36% busy at 3 PM.'~ '30% busy at 4 PM.'~ '25% busy at 5 PM.'~ '23% busy at 6 PM.'~ '30% busy at 7 PM.'~ '38% busy at 8 PM.'~ '35% busy at 9 PM.'~ '21% busy at 10 PM.'~ '0% busy at 11 PM.']
