,SHOP_ID,CATEGORY,NAME_x,RATING,AVG_PRICE,REVIEW_COUNT,REVIEW_ID,LOCAL_GUIDE,NAME_y,REVIEW_STARS,REVIEW,sentiment,sentimentt
0,100014,Cafe,Balindo Cafe,3.5,1000,4.0,300094,FALSE,Jade Senaratne,2,Its not a fancy location~ but it is a good place to catch a quick bite.,-1,negative
1,100014,Cafe,Balindo Cafe,3.5,1000,4.0,300095,FALSE,MassSpreadz David,5,Good Place,1,positive
3,100014,Cafe,Balindo Cafe,3.5,1000,4.0,300097,600080,Jeewaka Hettige,4,,1,positive
4,100007,Coffee shop,The Coffee Bean Tea Leaf,3.8,1000,9.0,300057,600053,Nidhya Logeswaran,1,visited the one Galle face branch which has an offer displayed saying Buy one get one free. asked the staff what was on offer. they said if I but a cappuccino or latte~ I get a chocolate fudge slice at 50% off. I asked what was free then.  ,-1,negative
5,100007,Coffee shop,The Coffee Bean Tea Leaf,3.8,1000,9.0,300058,600054,bassith mahmood,4,The coffee was good~ a bit sweeter than other stores. Good service.,1,positive
6,100007,Coffee shop,The Coffee Bean Tea Leaf,3.8,1000,9.0,300059,600055,Hunters Photography,5,Superb place    Delicious foods  ,1,positive
8,100018,Cafe,Everyday Bakery And Cafe,3.9,500,45.0,300122,600104,vinuchithra chithrasena,5,Great place for a quick snack and coffee,1,positive
9,100018,Cafe,Everyday Bakery And Cafe,3.9,500,45.0,300123,600105,Noel shamith,5,Best at Cakes  ,1,positive
10,100018,Cafe,Everyday Bakery And Cafe,3.9,500,45.0,300124,600106,Mewantha Wijerathne,5,Best place to visit,1,positive
11,100018,Cafe,Everyday Bakery And Cafe,3.9,500,45.0,300125,600107,Mohamed Mafaz,5,Fresh buns and short eats available~ cakes are very reasonable price.,1,positive
12,100018,Cafe,Everyday Bakery And Cafe,3.9,500,45.0,300126,600108,Yusry Al Ayad,5,Good,1,positive
13,100018,Cafe,Everyday Bakery And Cafe,3.9,500,45.0,300127,600109,rushika desilva,4,Expensive in unwanted way,1,positive
14,100018,Cafe,Everyday Bakery And Cafe,3.9,500,45.0,300128,600110,Fahadh Nazir,4,Fresh cakes,1,positive
15,100018,Cafe,Everyday Bakery And Cafe,3.9,500,45.0,300129,600111,kind_companion Rikaz,2,Not a comfortable place,-1,negative
17,100015,Cafe,Coffee And Tea Cafe,4.0,1000,47.0,300098,600081,hadi hussain,4,very nice and beautiful place~ variety of tea~ coffee and snakes available. You can choose to have a seat inside the air conditioned hall or outside. Atmosphere is very good staff is very cooprative~ you can buy tea and coffe for your friends in paper bags and in tin containers.,1,positive
18,100015,Cafe,Coffee And Tea Cafe,4.0,1000,47.0,300099,600082,Mohamed Afsal,5,Maldivian coffee shop,1,positive
19,100015,Cafe,Coffee And Tea Cafe,4.0,1000,47.0,300100,600083,Wuz Good,4,Nice place to chill with a bunch of friends~  needs more upgrading though,1,positive
